Taille;Nombre
1;252098
2;6128
3;1126
4;416
5;184
6;77
7;54
8;29
9;22
10;16
11;15
12;9
13;8
14;4
15;4
16;2
17;6
18;2
19;1
21;1
23;1
26;1
27;1
30;1
33;1
34;1
38;1
73;1
133;1
